"ParticipantID", "Phase", "TrialNo", "IAC", "EventType", "DataType", "Target",  "CharTyped", "CurrOutput", "StartTime", "EndTime", "TimeTaken"
"bce8df08-f7e6-cc15-399c-fe1dd9594fac","training","1","low","visit","Claimform-1","","","","1.48577660961E+12","1.48577661094E+12","1333"
"bce8df08-f7e6-cc15-399c-fe1dd9594fac","training","1","low","visit","Item","","","","1.48577661094E+12","1.48577661155E+12","609"
"bce8df08-f7e6-cc15-399c-fe1dd9594fac","training","1","low","entry","item","coffee","C","c","1.48577660961E+12","1.48577661244E+12","2831"
"bce8df08-f7e6-cc15-399c-fe1dd9594fac","training","1","low","entry","item","coffee","","","1.48577661244E+12","1.48577661314E+12","696"
"bce8df08-f7e6-cc15-399c-fe1dd9594fac","training","1","low","entry","item","coffee","I","i","1.48577661314E+12","1.48577661354E+12","400"
"bce8df08-f7e6-cc15-399c-fe1dd9594fac","training","1","low","entry","item","coffee","","","1.48577661354E+12","1.48577661377E+12","232"
"bce8df08-f7e6-cc15-399c-fe1dd9594fac","training","1","low","entry","item","coffee","M","m","1.48577661377E+12","1.485776614E+12","232"
"bce8df08-f7e6-cc15-399c-fe1dd9594fac","training","1","low","entry","item","coffee","L","ml","1.485776614E+12","1.48577661431E+12","312"
"bce8df08-f7e6-cc15-399c-fe1dd9594fac","training","1","low","entry","item","coffee","","m","1.48577661431E+12","1.48577661458E+12","264"
"bce8df08-f7e6-cc15-399c-fe1dd9594fac","training","1","low","entry","item","coffee","I","mi","1.48577661458E+12","1.48577661477E+12","192"
"bce8df08-f7e6-cc15-399c-fe1dd9594fac","training","1","low","entry","item","coffee","L","mil","1.48577661477E+12","1.48577661493E+12","160"
"bce8df08-f7e6-cc15-399c-fe1dd9594fac","training","1","low","entry","item","coffee","K","milk","1.48577661493E+12","1.4857766151E+12","168"
"bce8df08-f7e6-cc15-399c-fe1dd9594fac","training","1","low","entry","amount","52.64","	","","1.4857766151E+12","1.48577662374E+12","8640"
"bce8df08-f7e6-cc15-399c-fe1dd9594fac","training","1","low","entry","amount","52.64","1","1","1.48577662374E+12","1.48577662449E+12","752"
"bce8df08-f7e6-cc15-399c-fe1dd9594fac","training","1","low","entry","amount","52.64","","","1.48577662449E+12","1.48577662486E+12","368"
"bce8df08-f7e6-cc15-399c-fe1dd9594fac","training","1","low","entry","amount","52.64","2","21","1.48577662486E+12","1.48577662501E+12","152"
